+----------------------------------+-------------+-------------+--------------------+---------------------+----------+----------------+---------------------+
|               Name               | Enchantment |   Quality   |   BM Age (mins)    | Caerleon Age (mins) | BM Price | Caerleon Price |       Profit        |
|        Grandmaster's Bag         |      0      | Outstanding | 75.23940366666665  |  5.239403666666647  |  108040  |     99996      |  4802.800000000003  |
|        Grandmaster's Bag         |      0      |  Excellent  | 75.23940366666665  |  5.239403666666647  |  42340   |     103175     | -62105.200000000004 |
|        Grandmaster's Bag         |      0      | Masterpiece | 75.23940366666665  |  5.239403666666647  |  54020   |     129966     |      -77566.6       |
| Grandmaster's Satchel of Insight |      0      |   Normal    | 75.23940366666665  |  5.239403666666647  |  80300   |     112887     |      -34996.0       |
| Grandmaster's Satchel of Insight |      0      |    Good     | 75.23940366666665  |  5.239403666666647  |  89060   |     113332     | -26943.800000000003 |
| Grandmaster's Satchel of Insight |      0      | Outstanding | 75.23940366666665  |  5.239403666666647  |  37960   |     118498     |      -81676.8       |
| Grandmaster's Satchel of Insight |      0      |  Excellent  | 75.23940366666665  |  5.239403666666647  |  94900   |     149999     |      -57946.0       |
|   Grandmaster's Soldier Boots    |      3      | Outstanding | 10.239403666666647 |  5.239403666666647  |  554895  |    1444440     |     -906191.85      |
|       Elder's Knight Armor       |      2      |   Normal    | 10.239403666666647 |  5.239403666666647  | 1039698  |    1200000     | -191492.94000000006 |
|           Elder's Bag            |      0      |   Normal    | 75.23940366666665  |  75.23940366666665  |  271560  |     279966     | -16552.79999999999  |
|           Elder's Bag            |      0      |    Good     | 75.23940366666665  |  5.239403666666647  |  122640  |     259991     |      -141030.2      |
|           Elder's Bag            |      0      | Outstanding | 75.23940366666665  |  5.239403666666647  |  236520  |     259990     | -30565.600000000006 |
|           Elder's Bag            |      0      |  Excellent  | 75.23940366666665  |  5.239403666666647  |  131400  |     269999     |      -142541.0      |
|           Elder's Bag            |      2      | Outstanding | 10.239403666666647 |  5.239403666666647  | 1588752  |    1900000     | -358910.56000000006 |
|    Elder's Satchel of Insight    |      0      |   Normal    | 75.23940366666665  |  5.239403666666647  |  283240  |     281993     | -7250.200000000012  |
|    Elder's Satchel of Insight    |      0      |    Good     | 75.23940366666665  |  75.23940366666665  |  277400  |     281993     |      -12915.0       |
|    Elder's Satchel of Insight    |      0      | Outstanding | 75.23940366666665  |  5.239403666666647  |  151840  |     275000     | -127715.20000000001 |
|    Elder's Satchel of Insight    |      0      |  Excellent  | 75.23940366666665  |  5.239403666666647  |  178120  |     289985     |      -117208.6      |
|    Elder's Satchel of Insight    |      2      |    Good     | 10.239403666666647 |  5.239403666666647  | 1331748  |    1999990     |     -708194.44      |
|   Grandmaster's Guardian Boots   |      4      |  Excellent  | 10.239403666666647 |  5.239403666666647  |  584100  |    3000000     |     -2433423.0      |
|       Elder's Demon Boots        |      3      |  Excellent  | 10.239403666666647 |  5.239403666666647  |  894390  |    3100000     |     -2232441.7      |
|      Master's Hellion Hood       |      4      |  Excellent  | 10.239403666666647 |  5.239403666666647  |  409705  |    2000000     |     -1602586.15     |
|      Master's Hunter Shoes       |      4      |  Excellent  | 10.239403666666647 |  5.239403666666647  |  478962  |    1750000     | -1285406.8599999999 |
|    Grandmaster's Specter Hood    |      3      |  Excellent  | 10.239403666666647 |  5.239403666666647  |  135261  |    1104998     | -973794.8300000001  |
|    Grandmaster's Specter Hood    |      4      |  Excellent  | 10.239403666666647 |  5.239403666666647  |  194385  |    4600000     |     -4411446.55     |
|   Grandmaster's Hellion Shoes    |      0      |    Good     | 80.23940366666665  |  80.23940366666665  |  81792   |     160000     | -80661.76000000001  |
|   Grandmaster's Hellion Shoes    |      2      | Outstanding | 85.23940366666665  |  60.23940366666665  |  38148   |     300000     |     -262996.44      |
|     Elder's Mercenary Jacket     |      3      |    Good     | 5.239403666666647  |  5.239403666666647  | 3247596  |    5283995     |     -2133826.88     |
|     Elder's Mercenary Jacket     |      3      |  Excellent  | 10.239403666666647 |  5.239403666666647  | 1378476  |    5485991     | -4148869.2800000003 |
|      Elder's Hunter Jacket       |      3      |  Excellent  | 10.239403666666647 |  5.239403666666647  | 1238292  |    6199999     |     -4998855.76     |
|     Elder's Mercenary Shoes      |      0      |    Good     | 65.23940366666665  |  5.239403666666647  |   8760   |     138288     |      -129790.8      |
|     Elder's Mercenary Shoes      |      0      | Outstanding | 65.23940366666665  |  5.239403666666647  |  45260   |     138291     |      -94388.8       |
|     Elder's Mercenary Shoes      |      0      |  Excellent  | 65.23940366666665  |  5.239403666666647  |  62780   |     144977     |      -84080.4       |
|       Elder's Hunter Shoes       |      0      |    Good     | 65.23940366666665  |  5.239403666666647  |  71540   |     149948     |      -80554.2       |
|       Elder's Hunter Shoes       |      0      | Outstanding | 65.23940366666665  |  5.239403666666647  |  119720  |     149995     | -33866.600000000006 |
|       Elder's Hunter Shoes       |      0      |  Excellent  | 65.23940366666665  |  5.239403666666647  |  129940  |     156997     | -30955.199999999997 |
|       Elder's Hunter Shoes       |      3      |  Excellent  | 10.239403666666647 |  5.239403666666647  |  245322  |    1444387     |     -1206424.66     |
|      Elder's Assassin Shoes      |      0      | Outstanding | 65.23940366666665  |  5.239403666666647  |  39420   |     139887     |      -101649.6      |
|      Elder's Assassin Shoes      |      0      |  Excellent  | 65.23940366666665  |  5.239403666666647  |  40880   |     144999     |      -105345.4      |
|      Master's Scholar Robe       |      4      | Outstanding | 10.239403666666647 |  5.239403666666647  |  478962  |    2900000     |     -2435406.86     |
|        Elder's Mage Robe         |      0      | Outstanding | 75.23940366666665  |  5.239403666666647  |  151840  |     218970     | -71685.20000000001  |
|     Elder's Hood of Tenacity     |      3      |  Excellent  | 10.239403666666647 |  5.239403666666647  |  274528  |    3500000     |     -3233707.84     |
|    Elder's Shoes of Tenacity     |      3      |  Excellent  | 10.239403666666647 |  5.239403666666647  |  446108  |    8888887     |     -8456162.24     |
|   Grandmaster's Feyscale Robe    |      3      |    Good     | 10.239403666666647 |  5.239403666666647  |  455584  |    1999999     |     -1558082.52     |
|    Grandmaster's Cultist Cowl    |      3      | Outstanding | 10.239403666666647 |  5.239403666666647  |  541044  |    1099999     | -575186.3200000001  |
|     Grandmaster's Royal Cowl     |      4      |  Excellent  | 10.239403666666647 |  5.239403666666647  |  711840  |    5000000     |     -4309515.2      |
| Grandmaster's Sandals of Purity  |      3      |  Excellent  | 10.239403666666647 |  5.239403666666647  |  300265  |    1333333     |     -1042075.95     |
|        Elder's Druid Robe        |      3      |  Excellent  | 10.239403666666647 |  5.239403666666647  |  385504  |    2900000     |     -2526061.12     |
|       Elder's Cultist Cowl       |      3      |  Excellent  | 10.239403666666647 |  5.239403666666647  |  996590  |    5499985     |     -4533292.7      |
|      Master's Royal Helmet       |      4      |    Good     | 10.239403666666647 |  5.239403666666647  |  403376  |    2500000     | -2108725.2800000003 |
|    Grandmaster's Royal Shoes     |      3      |  Excellent  | 10.239403666666647 |  5.239403666666647  |  795036  |    1199999     | -428814.0800000001  |
|       Elder's Royal Jacket       |      3      |  Excellent  | 10.239403666666647 |  5.239403666666647  |  144564  |    3999999     |     -3859771.92     |
|       Elder's Royal Helmet       |      3      |  Excellent  | 10.239403666666647 |  5.239403666666647  |  638491  |    2749998     |     -2130661.73     |
|       Master's Boltcasters       |      4      |   Normal    | 10.239403666666647 |  5.239403666666647  | 3595473  |    7000000     |     -3512391.19     |
|        Grandmaster's Bow         |      1      |    Good     | 70.23940366666665  |  5.239403666666647  |  64251   |     199987     |     -137663.53      |
|      Elder's Light Crossbow      |      2      |    Good     | 10.239403666666647 |  5.239403666666647  | 1436886  |    3296660     |     -1902880.58     |
|      Elder's Light Crossbow      |      3      |    Good     | 10.239403666666647 |  5.239403666666647  | 1016305  |    2200000     |     -1214184.15     |
|     Master's Infernal Staff      |      0      |    Good     | 50.23940366666665  |  40.23940366666665  |  43800   |     34797      |       7689.0        |
|   Grandmaster's Infernal Staff   |      0      |   Normal    | 65.23940366666665  |  80.23940366666665  |  75920   |     101085     | -27442.600000000006 |
|   Grandmaster's Infernal Staff   |      0      |    Good     | 65.23940366666665  |  5.239403666666647  |  113880  |     114772     | -4308.400000000009  |
|   Grandmaster's Infernal Staff   |      0      | Outstanding | 70.23940366666665  |  80.23940366666665  |  35040   |     99999      | -66010.20000000001  |
|     Grandmaster's Fire Staff     |      3      | Masterpiece | 10.239403666666647 |  5.239403666666647  | 1174041  |    4289592     |     -3150772.23     |
|     Elder's Damnation Staff      |      2      |   Normal    | 10.239403666666647 |  70.23940366666665  | 1276230  |    4100000     | -2862056.9000000004 |
|       Elder's Cursed Staff       |      2      |    Good     | 10.239403666666647 |  70.23940366666665  | 1612116  |    4100000     |     -2536247.48     |
|       Elder's Shadowcaller       |      3      |  Excellent  | 10.239403666666647 |  5.239403666666647  |  205892  |    10400000    |    -10200284.76     |
|        Elder's Fire Staff        |      2      |  Excellent  | 10.239403666666647 |  5.239403666666647  |  403029  |    3500000     |     -3109061.87     |
|        Elder's Holy Staff        |      3      |  Excellent  | 10.239403666666647 |  5.239403666666647  |  525675  |    3639996     |     -3130091.25     |
|        Elder's Holy Staff        |      3      | Masterpiece | 10.239403666666647 |  5.239403666666647  |  455585  |    6666666     |     -6224748.55     |
|         Master's Dagger          |      4      | Masterpiece | 10.239403666666647 |  5.239403666666647  | 1174041  |    15000000    |    -13861180.23     |
|       Grandmaster's Dagger       |      0      |    Good     | 65.23940366666665  |  5.239403666666647  |  67890   |     129992     |      -64138.7       |
|       Elder's Dagger Pair        |      3      |  Excellent  | 10.239403666666647 |  85.23940366666665  | 2336350  |    8500000     |     -6233740.5      |
|    Elder's Great Nature Staff    |      3      |  Excellent  | 10.239403666666647 |  5.239403666666647  | 2803620  |    8000000     |     -5280488.6      |
|      Elder's Druidic Staff       |      3      |    Good     | 10.239403666666647 |  5.239403666666647  | 2493729  |    7099000     |     -4680082.87     |
|      Grandmaster's Greataxe      |      0      |    Good     | 70.23940366666665  |  5.239403666666647  |  70080   |     109995     | -42017.40000000001  |
|       Grandmaster's Glaive       |      0      |    Good     | 80.23940366666665  |  5.239403666666647  |   5840   |     95974      |      -90309.2       |
|          Elder's Spear           |      2      |  Excellent  | 10.239403666666647 |  5.239403666666647  | 1191564  |    2000000     | -844182.9199999999  |
|       Master's Dual Swords       |      4      |  Excellent  | 10.239403666666647 |  5.239403666666647  |  630828  |    7000000     |     -6388096.84     |
|   Grandmaster's Carving Sword    |      3      |  Excellent  | 10.239403666666647 |  5.239403666666647  |  843282  |    5199999     |     -4382015.46     |
|    Grandmaster's Dual Swords     |      0      |    Good     | 85.23940366666665  |  5.239403666666647  |  119720  |     179892     | -63763.600000000006 |
|     Grandmaster's Broadsword     |      0      |    Good     | 80.23940366666665  |  5.239403666666647  |  56940   |     85000      | -29768.200000000004 |
|       Elder's Quarterstaff       |      2      | Outstanding | 10.239403666666647 |  5.239403666666647  | 3341052  |    4680000     |     -1439179.56     |
|        Elder's Broadsword        |      3      |   Normal    | 10.239403666666647 |  5.239403666666647  | 1051350  |    3999992     |     -2980182.5      |
|          Master's Mace           |      4      |  Excellent  | 10.239403666666647 |  5.239403666666647  | 1471932  |    6000000     |     -4572225.96     |
|    Grandmaster's Great Hammer    |      1      |    Good     | 60.23940366666665  |  5.239403666666647  |  268686  |     419997     | -159371.58000000002 |
|     Grandmaster's Heavy Mace     |      0      |    Good     | 55.23940366666665  |  5.239403666666647  |  128480  |     159978     | -35352.40000000001  |
|        Grandmaster's Mace        |      4      |  Excellent  | 10.239403666666647 |  5.239403666666647  |  490630  |    8099999     |     -7624087.9      |
|        Elder's Tombhammer        |      2      | Outstanding | 10.239403666666647 |  5.239403666666647  | 1762504  |    4500000     |     -2790371.12     |
|   Grandmaster's Hellfire Hands   |      3      |  Excellent  | 10.239403666666647 |  5.239403666666647  |  178878  |    5999997     |     -5826485.34     |
|   Grandmaster's Brawler Gloves   |      3      |   Normal    | 10.239403666666647 |  5.239403666666647  | 2219580  |    3800000     |     -1647007.4      |
|   Grandmaster's Battle Bracers   |      0      |    Good     | 75.23940366666665  |  5.239403666666647  |  157680  |     199987     | -47037.399999999994 |
|  Grandmaster's Rootbound Staff   |      3      | Masterpiece | 10.239403666666647 |  5.239403666666647  |  911196  |    5999999     |     -5116138.88     |
+----------------------------------+-------------+-------------+--------------------+---------------------+----------+----------------+---------------------+
